,index,pitch,channels,year,month,months_text
146,30,40,3,2013,7,july
147,30,40,3,2013,7,july
148,30,37,3,2013,7,july
149,30,40,3,2013,7,july
150,31,35,2,2013,8,august
151,31,30,2,2013,8,august
152,31,35,2,2013,8,august
153,31,35,2,2013,8,august
154,31,35,2,2013,8,august
155,32,30,1,2013,9,september
156,32,35,1,2013,9,september
157,32,35,1,2013,9,september
158,32,35,1,2013,9,september
159,32,30,1,2013,9,september
160,33,35,3,2013,10,october
161,33,30,3,2013,10,october
162,33,30,3,2013,10,october
163,33,30,3,2013,10,october
164,33,30,3,2013,10,october
165,34,50,2,2013,11,november
166,34,48,2,2013,11,november
167,34,48,2,2013,11,november
168,34,50,2,2013,11,november
169,34,48,2,2013,11,november
170,35,57,2,2013,12,december
171,35,59,2,2013,12,december
172,35,59,2,2013,12,december
173,35,52,2,2013,12,december
174,35,59,2,2013,12,december
175,36,42,3,2014,1,january
176,36,45,3,2014,1,january
177,36,45,3,2014,1,january
178,36,45,3,2014,1,january
179,36,42,3,2014,1,january
180,37,47,2,2014,2,february
181,37,50,2,2014,2,february
182,37,47,2,2014,2,february
183,37,47,2,2014,2,february
184,37,50,2,2014,2,february
185,38,59,1,2014,3,march
186,38,52,1,2014,3,march
187,38,57,1,2014,3,march
188,38,59,1,2014,3,march
189,38,57,1,2014,3,march
190,39,60,1,2014,4,april
191,39,62,1,2014,4,april
192,39,60,1,2014,4,april
193,39,60,1,2014,4,april
194,39,62,1,2014,4,april
195,40,45,1,2014,5,may
196,40,45,1,2014,5,may
197,40,42,1,2014,5,may
198,40,45,1,2014,5,may
199,40,45,1,2014,5,may
200,41,37,1,2014,6,june
201,41,37,1,2014,6,june
202,41,37,1,2014,6,june
203,41,40,1,2014,6,june
204,41,37,1,2014,6,june
205,42,35,1,2014,7,july
206,42,30,1,2014,7,july
207,42,30,1,2014,7,july
208,42,35,1,2014,7,july
209,42,35,1,2014,7,july
210,43,48,1,2014,8,august
211,43,47,1,2014,8,august
212,43,48,1,2014,8,august
213,43,47,1,2014,8,august
214,43,48,1,2014,8,august
215,44,75,0,2014,9,september
216,44,75,0,2014,9,september
217,44,75,0,2014,9,september
218,44,78,0,2014,9,september
219,44,75,0,2014,9,september
220,45,57,1,2014,10,october
221,45,57,1,2014,10,october
222,45,52,1,2014,10,october
223,45,57,1,2014,10,october
224,45,52,1,2014,10,october
225,46,45,2,2014,11,november
226,46,45,2,2014,11,november
227,46,42,2,2014,11,november
228,46,45,2,2014,11,november
229,46,42,2,2014,11,november
230,47,37,1,2014,12,december
231,47,40,1,2014,12,december
232,47,37,1,2014,12,december
233,47,37,1,2014,12,december
234,47,40,1,2014,12,december
235,,,,,,
